AAo	1.2034
KKo	1.0660
QQo	0.9475
JJo	0.8350
TTo	0.7272
99o	0.6084
AKs	0.5221
88o	0.4986
AQs	0.4824
AKo	0.4462
AJs	0.4461
KQs	0.4128
ATs	0.4121
AQo	0.4045
77o	0.3945
KJs	0.3772
AJo	0.3652
KTs	0.3436
A9s	0.3366
KQo	0.3318
ATo	0.3289
QJs	0.3256
A8s	0.3058
66o	0.2958
QTs	0.2932
KJo	0.2930
A7s	0.2719
K9s	0.2689
JTs	0.2582
KTo	0.2576
A9o	0.2473
A5s	0.2431
QJo	0.2406
A6s	0.2348
Q9s	0.2193
A4s	0.2161
A8o	0.2136
QTo	0.2060
K8s	0.2048
55o	0.2017
A3s	0.1901
J9s	0.1844
K7s	0.1786
A7o	0.1770
K9o	0.1769
JTo	0.1710
A2s	0.1630
T9s	0.1617
Q8s	0.1564
K6s	0.1483
A5o	0.1458
A6o	0.1374
Q9o	0.1262
K5s	0.1220
J8s	0.1219
A4o	0.1155
K8o	0.1079
44o	0.1026
T8s	0.1004
K4s	0.0956
Q7s	0.0937
J9o	0.0908
A3o	0.0879
K7o	0.0792
98s	0.0790
Q6s	0.0712
K3s	0.0712
T9o	0.0692
J7s	0.0605
Q8o	0.0585
A2o	0.0579
K6o	0.0469
K2s	0.0464
Q5s	0.0455
T7s	0.0394
J8o	0.0237
97s	0.0223
Q4s	0.0203
K5o	0.0183
87s	0.0134
33o	0.0087
T8o	0.0026
J6s	0.0009
Q3s	-0.0042
Q7o	-0.0082
K4o	-0.0104
J5s	-0.0182
98o	-0.0185
T6s	-0.0194
Q2s	-0.0279
Q6o	-0.0326
96s	-0.0357
K3o	-0.0374
86s	-0.0416
J7o	-0.0422
76s	-0.0424
J4s	-0.0430
Q5o	-0.0607
T7o	-0.0626
K2o	-0.0642
J3s	-0.0659
T5s	-0.0768
97o	-0.0799
22o	-0.0804
87o	-0.0881
Q4o	-0.0886
J2s	-0.0891
65s	-0.0923
95s	-0.0927
T4s	-0.0945
75s	-0.0962
85s	-0.0979
J6o	-0.1060
Q3o	-0.1150
T3s	-0.1172
T6o	-0.1262
J5o	-0.1268
54s	-0.1295
T2s	-0.1405
Q2o	-0.1413
96o	-0.1421
64s	-0.1453
86o	-0.1473
76o	-0.1477
94s	-0.1492
74s	-0.1522
J4o	-0.1538
84s	-0.1542
93s	-0.1654
J3o	-0.1798
53s	-0.1821
T5o	-0.1872
92s	-0.1883
65o	-0.1998
63s	-0.2002
95o	-0.2035
J2o	-0.2052
75o	-0.2053
T4o	-0.2072
43s	-0.2074
85o	-0.2078
73s	-0.2082
83s	-0.2093
82s	-0.2253
T3o	-0.2324
52s	-0.2371
54o	-0.2401
62s	-0.2559
64o	-0.2576
T2o	-0.2578
42s	-0.2599
72s	-0.2628
94o	-0.2644
74o	-0.2657
84o	-0.2687
93o	-0.2825
32s	-0.2850
53o	-0.2961
92o	-0.3073
63o	-0.3168
43o	-0.3238
73o	-0.3256
83o	-0.3285
82o	-0.3462
52o	-0.3558
62o	-0.3769
42o	-0.3801
72o	-0.3854
32o	-0.4072
